Date,Day_of_Week,Arrival_Time,Service_Type,Branch,Queue_Size,Total_OPD_Time_Mins
30/11/2025,Sunday,08:00 - 09:00,Dermatology,Branch 3,3,136
28/6/2025,Saturday,14:00 - 15:00,Pediatrics,Branch 1,14,238
25/2/2026,Wednesday,08:00 - 09:00,Orthopedics,Branch 2,0,60
3/1/2026,Saturday,11:00 - 12:00,General Consultation,Branch 2,4,92
13/4/2026,Monday,09:00 - 10:00,Minor Procedures,Branch 2,4,113
4/5/2025,Sunday,09:00 - 10:00,Obstetrics & Gynecology,Branch 1,9,187
29/1/2026,Thursday,08:00 - 09:00,Obstetrics & Gynecology,Branch 2,0,56
7/11/2025,Friday,14:00 - 15:00,Pediatrics,Branch 2,14,214
23/5/2025,Friday,15:00 - 16:00,Lab Services,Branch 3,1,121
21/1/2026,Wednesday,10:00 - 11:00,Pediatrics,Branch 3,8,208
13/3/2026,Friday,10:00 - 11:00,General Consultation,Branch 3,15,282
30/9/2025,Tuesday,09:00 - 10:00,Cardiology,Branch 2,13,189
24/6/2025,Tuesday,16:00 - 17:00,Minor Procedures,Branch 2,8,170
21/11/2025,Friday,10:00 - 11:00,Orthopedics,Branch 3,13,243
7/12/2025,Sunday,08:00 - 09:00,Obstetrics & Gynecology,Branch 3,4,165
4/9/2025,Thursday,15:00 - 16:00,Obstetrics & Gynecology,Branch 1,8,185
30/4/2025,Wednesday,15:00 - 16:00,Dermatology,Branch 3,10,215
22/8/2025,Friday,15:00 - 16:00,Pediatrics,Branch 1,3,124
5/10/2025,Sunday,10:00 - 11:00,Obstetrics & Gynecology,Branch 3,6,181
23/5/2025,Friday,15:00 - 16:00,Minor Procedures,Branch 2,8,162
1/4/2026,Wednesday,10:00 - 11:00,Pediatrics,Branch 2,1,83
3/5/2025,Saturday,11:00 - 12:00,Pediatrics,Branch 1,14,232
1/11/2025,Saturday,16:00 - 17:00,Cardiology,Branch 1,1,95
25/9/2025,Thursday,10:00 - 11:00,Lab Services,Branch 3,14,248
24/12/2025,Wednesday,08:00 - 09:00,Dermatology,Branch 3,10,216
17/5/2025,Saturday,13:00 - 14:00,Minor Procedures,Branch 3,11,242
12/1/2026,Monday,15:00 - 16:00,Cardiology,Branch 1,5,145
9/5/2025,Friday,13:00 - 14:00,Obstetrics & Gynecology,Branch 2,9,150
7/3/2026,Saturday,11:00 - 12:00,Obstetrics & Gynecology,Branch 1,8,170
22/10/2025,Wednesday,10:00 - 11:00,Orthopedics,Branch 2,15,206
1/9/2025,Monday,16:00 - 17:00,Minor Procedures,Branch 1,0,105
28/7/2025,Monday,14:00 - 15:00,Dermatology,Branch 3,11,222
7/3/2026,Saturday,15:00 - 16:00,Cardiology,Branch 2,5,100
29/8/2025,Friday,11:00 - 12:00,Orthopedics,Branch 1,0,94
22/11/2025,Saturday,09:00 - 10:00,Minor Procedures,Branch 2,0,95
4/1/2026,Sunday,09:00 - 10:00,Dermatology,Branch 3,3,142
16/3/2026,Monday,08:00 - 09:00,Cardiology,Branch 3,8,201
11/4/2026,Saturday,16:00 - 17:00,General Consultation,Branch 1,15,228
26/7/2025,Saturday,09:00 - 10:00,Lab Services,Branch 2,0,47
30/10/2025,Thursday,14:00 - 15:00,Cardiology,Branch 2,10,164
2/10/2025,Thursday,16:00 - 17:00,Lab Services,Branch 3,13,233
23/3/2026,Monday,09:00 - 10:00,Orthopedics,Branch 2,12,192
5/5/2025,Monday,15:00 - 16:00,General Consultation,Branch 1,4,145
18/7/2025,Friday,14:00 - 15:00,Orthopedics,Branch 3,6,186
16/12/2025,Tuesday,11:00 - 12:00,Minor Procedures,Branch 3,12,276
23/7/2025,Wednesday,13:00 - 14:00,Pediatrics,Branch 2,14,215
21/5/2025,Wednesday,16:00 - 17:00,General Consultation,Branch 1,1,87
4/4/2026,Saturday,10:00 - 11:00,Cardiology,Branch 3,5,157
26/4/2025,Saturday,09:00 - 10:00,Lab Services,Branch 1,10,163
13/9/2025,Saturday,13:00 - 14:00,General Consultation,Branch 1,5,130
3/2/2026,Tuesday,15:00 - 16:00,Minor Procedures,Branch 3,10,258
11/4/2026,Saturday,08:00 - 09:00,Obstetrics & Gynecology,Branch 1,13,214
3/10/2025,Friday,16:00 - 17:00,Cardiology,Branch 1,2,103
15/10/2025,Wednesday,16:00 - 17:00,Lab Services,Branch 1,4,126
7/5/2025,Wednesday,15:00 - 16:00,General Consultation,Branch 2,4,93
31/12/2025,Wednesday,16:00 - 17:00,Orthopedics,Branch 2,9,137
9/5/2025,Friday,11:00 - 12:00,Cardiology,Branch 1,0,78
16/8/2025,Saturday,15:00 - 16:00,Minor Procedures,Branch 3,14,287
14/2/2026,Saturday,16:00 - 17:00,Pediatrics,Branch 1,9,176
2/12/2025,Tuesday,09:00 - 10:00,Dermatology,Branch 1,6,160
11/12/2025,Thursday,13:00 - 14:00,Orthopedics,Branch 2,8,129
13/6/2025,Friday,16:00 - 17:00,Lab Services,Branch 2,11,163
30/1/2026,Friday,16:00 - 17:00,Pediatrics,Branch 1,0,84
7/1/2026,Wednesday,14:00 - 15:00,Dermatology,Branch 3,13,241
17/3/2026,Tuesday,08:00 - 09:00,Pediatrics,Branch 3,8,189
20/6/2025,Friday,15:00 - 16:00,Obstetrics & Gynecology,Branch 2,10,174
7/4/2026,Tuesday,10:00 - 11:00,Dermatology,Branch 3,15,281
27/12/2025,Saturday,15:00 - 16:00,Minor Procedures,Branch 2,10,188
20/5/2025,Tuesday,09:00 - 10:00,Cardiology,Branch 1,12,202
25/3/2026,Wednesday,11:00 - 12:00,Cardiology,Branch 3,1,138
1/9/2025,Monday,11:00 - 12:00,Orthopedics,Branch 1,14,224
1/7/2025,Tuesday,16:00 - 17:00,Dermatology,Branch 1,15,254
5/11/2025,Wednesday,10:00 - 11:00,Cardiology,Branch 3,1,124
10/10/2025,Friday,14:00 - 15:00,General Consultation,Branch 1,12,206
26/7/2025,Saturday,14:00 - 15:00,General Consultation,Branch 2,14,200
9/4/2026,Thursday,10:00 - 11:00,Cardiology,Branch 3,0,121
27/10/2025,Monday,14:00 - 15:00,General Consultation,Branch 1,3,113
22/5/2025,Thursday,10:00 - 11:00,Obstetrics & Gynecology,Branch 1,13,225
15/6/2025,Sunday,11:00 - 12:00,General Consultation,Branch 1,2,100
18/1/2026,Sunday,08:00 - 09:00,Lab Services,Branch 1,12,204
15/3/2026,Sunday,14:00 - 15:00,Lab Services,Branch 3,8,174
10/9/2025,Wednesday,14:00 - 15:00,Lab Services,Branch 3,13,229
9/4/2026,Thursday,10:00 - 11:00,Dermatology,Branch 3,11,245
30/1/2026,Friday,13:00 - 14:00,Orthopedics,Branch 3,1,115
16/8/2025,Saturday,10:00 - 11:00,General Consultation,Branch 2,0,65
26/11/2025,Wednesday,10:00 - 11:00,Dermatology,Branch 2,12,175
3/12/2025,Wednesday,14:00 - 15:00,Orthopedics,Branch 2,13,201
26/11/2025,Wednesday,08:00 - 09:00,General Consultation,Branch 2,3,94
19/1/2026,Monday,15:00 - 16:00,Lab Services,Branch 3,15,248
20/3/2026,Friday,13:00 - 14:00,Pediatrics,Branch 1,0,85
6/3/2026,Friday,09:00 - 10:00,Orthopedics,Branch 1,14,231
20/3/2026,Friday,15:00 - 16:00,Obstetrics & Gynecology,Branch 1,8,172
1/9/2025,Monday,10:00 - 11:00,Pediatrics,Branch 3,9,217
16/8/2025,Saturday,13:00 - 14:00,Lab Services,Branch 2,1,44
31/5/2025,Saturday,14:00 - 15:00,Obstetrics & Gynecology,Branch 1,6,161
14/5/2025,Wednesday,13:00 - 14:00,Orthopedics,Branch 2,8,144
8/12/2025,Monday,14:00 - 15:00,Pediatrics,Branch 1,10,192
27/10/2025,Monday,11:00 - 12:00,Obstetrics & Gynecology,Branch 2,3,87
26/10/2025,Sunday,15:00 - 16:00,Lab Services,Branch 1,8,145
25/3/2026,Wednesday,08:00 - 09:00,Minor Procedures,Branch 2,5,124
23/7/2025,Wednesday,16:00 - 17:00,Pediatrics,Branch 1,10,185
1/10/2025,Wednesday,10:00 - 11:00,Orthopedics,Branch 2,6,107
29/7/2025,Tuesday,16:00 - 17:00,Orthopedics,Branch 2,11,156
20/8/2025,Wednesday,16:00 - 17:00,Orthopedics,Branch 2,3,82
24/1/2026,Saturday,16:00 - 17:00,Dermatology,Branch 3,3,157
4/9/2025,Thursday,16:00 - 17:00,Cardiology,Branch 2,10,162
19/9/2025,Friday,10:00 - 11:00,Pediatrics,Branch 3,13,265
20/6/2025,Friday,16:00 - 17:00,Dermatology,Branch 3,6,178
1/5/2025,Thursday,11:00 - 12:00,Dermatology,Branch 3,4,175
8/10/2025,Wednesday,13:00 - 14:00,Minor Procedures,Branch 2,15,228
6/8/2025,Wednesday,08:00 - 09:00,Orthopedics,Branch 1,4,135
27/8/2025,Wednesday,16:00 - 17:00,Obstetrics & Gynecology,Branch 1,14,217
15/4/2026,Wednesday,16:00 - 17:00,Dermatology,Branch 1,5,142
10/12/2025,Wednesday,10:00 - 11:00,Lab Services,Branch 1,3,116
5/3/2026,Thursday,16:00 - 17:00,Lab Services,Branch 1,2,108
22/11/2025,Saturday,15:00 - 16:00,Orthopedics,Branch 3,12,229
31/7/2025,Thursday,11:00 - 12:00,Obstetrics & Gynecology,Branch 1,6,157
10/7/2025,Thursday,10:00 - 11:00,Obstetrics & Gynecology,Branch 3,3,161
16/11/2025,Sunday,13:00 - 14:00,Cardiology,Branch 2,0,56
27/2/2026,Friday,09:00 - 10:00,Pediatrics,Branch 2,15,225
22/2/2026,Sunday,11:00 - 12:00,General Consultation,Branch 2,14,204
31/12/2025,Wednesday,09:00 - 10:00,Dermatology,Branch 3,1,120
21/2/2026,Saturday,11:00 - 12:00,Minor Procedures,Branch 2,8,162
2/4/2026,Thursday,13:00 - 14:00,General Consultation,Branch 1,10,204
8/3/2026,Sunday,16:00 - 17:00,Cardiology,Branch 2,2,68
19/1/2026,Monday,11:00 - 12:00,Dermatology,Branch 3,2,125
9/1/2026,Friday,10:00 - 11:00,Cardiology,Branch 3,15,260
18/7/2025,Friday,14:00 - 15:00,Dermatology,Branch 3,10,230
5/9/2025,Friday,10:00 - 11:00,Cardiology,Branch 3,3,163
7/1/2026,Wednesday,08:00 - 09:00,Dermatology,Branch 2,5,113
12/6/2025,Thursday,08:00 - 09:00,Pediatrics,Branch 3,15,280
28/4/2025,Monday,14:00 - 15:00,Minor Procedures,Branch 3,10,232
21/12/2025,Sunday,16:00 - 17:00,Pediatrics,Branch 3,2,153
7/3/2026,Saturday,16:00 - 17:00,Orthopedics,Branch 3,15,273
5/5/2025,Monday,11:00 - 12:00,General Consultation,Branch 1,15,232
19/3/2026,Thursday,09:00 - 10:00,Dermatology,Branch 2,9,142
28/10/2025,Tuesday,08:00 - 09:00,Orthopedics,Branch 1,8,168
10/2/2026,Tuesday,09:00 - 10:00,Obstetrics & Gynecology,Branch 1,10,184
29/5/2025,Thursday,13:00 - 14:00,Orthopedics,Branch 2,9,146
31/12/2025,Wednesday,14:00 - 15:00,Minor Procedures,Branch 3,2,151
25/12/2025,Thursday,15:00 - 16:00,Pediatrics,Branch 2,9,144
14/1/2026,Wednesday,16:00 - 17:00,Cardiology,Branch 3,13,265
8/12/2025,Monday,15:00 - 16:00,Cardiology,Branch 1,6,149
12/1/2026,Monday,08:00 - 09:00,Pediatrics,Branch 1,10,183
25/12/2025,Thursday,14:00 - 15:00,Lab Services,Branch 1,12,192
25/3/2026,Wednesday,10:00 - 11:00,Minor Procedures,Branch 1,12,235
13/7/2025,Sunday,15:00 - 16:00,Minor Procedures,Branch 2,10,183
28/11/2025,Friday,15:00 - 16:00,Lab Services,Branch 1,8,146
25/5/2025,Sunday,08:00 - 09:00,Lab Services,Branch 2,5,83
17/12/2025,Wednesday,08:00 - 09:00,Obstetrics & Gynecology,Branch 2,3,75
23/8/2025,Saturday,11:00 - 12:00,Obstetrics & Gynecology,Branch 3,9,216
28/10/2025,Tuesday,15:00 - 16:00,Cardiology,Branch 2,13,190
29/3/2026,Sunday,15:00 - 16:00,Minor Procedures,Branch 2,12,200
18/9/2025,Thursday,10:00 - 11:00,Lab Services,Branch 3,9,207
21/12/2025,Sunday,13:00 - 14:00,General Consultation,Branch 2,10,167
31/3/2026,Tuesday,16:00 - 17:00,Lab Services,Branch 1,1,77
19/10/2025,Sunday,16:00 - 17:00,Lab Services,Branch 3,8,183
12/5/2025,Monday,11:00 - 12:00,General Consultation,Branch 2,15,223
5/11/2025,Wednesday,08:00 - 09:00,Cardiology,Branch 3,9,203
30/9/2025,Tuesday,13:00 - 14:00,Minor Procedures,Branch 1,9,192
2/5/2025,Friday,11:00 - 12:00,Pediatrics,Branch 3,4,149
26/9/2025,Friday,08:00 - 09:00,Pediatrics,Branch 1,5,133
7/8/2025,Thursday,15:00 - 16:00,Dermatology,Branch 2,3,102
6/12/2025,Saturday,10:00 - 11:00,Dermatology,Branch 1,8,175
17/8/2025,Sunday,08:00 - 09:00,Orthopedics,Branch 1,15,234
8/8/2025,Friday,13:00 - 14:00,General Consultation,Branch 2,13,185
27/6/2025,Friday,11:00 - 12:00,Pediatrics,Branch 1,6,156
6/3/2026,Friday,16:00 - 17:00,Pediatrics,Branch 1,9,176
2/2/2026,Monday,14:00 - 15:00,General Consultation,Branch 3,9,215
10/9/2025,Wednesday,16:00 - 17:00,Dermatology,Branch 2,4,109
16/2/2026,Monday,08:00 - 09:00,Lab Services,Branch 2,1,54
11/5/2025,Sunday,11:00 - 12:00,Lab Services,Branch 2,5,91
18/6/2025,Wednesday,08:00 - 09:00,Dermatology,Branch 3,11,238
6/9/2025,Saturday,13:00 - 14:00,Obstetrics & Gynecology,Branch 1,4,140
19/11/2025,Wednesday,14:00 - 15:00,Lab Services,Branch 2,1,60
17/10/2025,Friday,14:00 - 15:00,General Consultation,Branch 3,13,263
21/3/2026,Saturday,16:00 - 17:00,Obstetrics & Gynecology,Branch 2,14,204
2/5/2025,Friday,15:00 - 16:00,Orthopedics,Branch 1,5,150
22/4/2026,Wednesday,13:00 - 14:00,Obstetrics & Gynecology,Branch 3,2,154
4/10/2025,Saturday,13:00 - 14:00,Lab Services,Branch 1,3,96
4/5/2025,Sunday,16:00 - 17:00,Cardiology,Branch 3,15,268
26/11/2025,Wednesday,16:00 - 17:00,Minor Procedures,Branch 1,12,244
13/8/2025,Wednesday,13:00 - 14:00,Orthopedics,Branch 1,5,132
8/6/2025,Sunday,14:00 - 15:00,Orthopedics,Branch 1,8,156
11/6/2025,Wednesday,14:00 - 15:00,Minor Procedures,Branch 2,12,212
18/12/2025,Thursday,13:00 - 14:00,Orthopedics,Branch 2,14,204
11/9/2025,Thursday,11:00 - 12:00,Minor Procedures,Branch 1,10,205
4/6/2025,Wednesday,15:00 - 16:00,Cardiology,Branch 3,14,272
22/9/2025,Monday,09:00 - 10:00,Cardiology,Branch 1,9,189
15/7/2025,Tuesday,11:00 - 12:00,Minor Procedures,Branch 3,12,255
30/6/2025,Monday,14:00 - 15:00,Dermatology,Branch 2,3,103
20/5/2025,Tuesday,13:00 - 14:00,Cardiology,Branch 3,6,180
28/2/2026,Saturday,14:00 - 15:00,Pediatrics,Branch 1,15,245
16/5/2025,Friday,09:00 - 10:00,Obstetrics & Gynecology,Branch 3,8,198
8/6/2025,Sunday,08:00 - 09:00,Orthopedics,Branch 1,8,156
15/10/2025,Wednesday,09:00 - 10:00,Cardiology,Branch 3,5,173
31/7/2025,Thursday,08:00 - 09:00,Minor Procedures,Branch 1,8,187
13/12/2025,Saturday,14:00 - 15:00,Orthopedics,Branch 2,10,169
2/6/2025,Monday,16:00 - 17:00,General Consultation,Branch 2,9,156
31/10/2025,Friday,14:00 - 15:00,Minor Procedures,Branch 1,2,134
14/11/2025,Friday,16:00 - 17:00,Pediatrics,Branch 2,0,62
12/8/2025,Tuesday,14:00 - 15:00,Dermatology,Branch 3,15,263
9/11/2025,Sunday,11:00 - 12:00,Lab Services,Branch 1,3,111
14/3/2026,Saturday,16:00 - 17:00,Orthopedics,Branch 2,15,207
2/10/2025,Thursday,08:00 - 09:00,Lab Services,Branch 1,7,154
2/5/2025,Friday,09:00 - 10:00,Minor Procedures,Branch 2,4,114
1/8/2025,Friday,13:00 - 14:00,General Consultation,Branch 2,4,97
17/7/2025,Thursday,14:00 - 15:00,Obstetrics & Gynecology,Branch 3,7,193
23/8/2025,Saturday,16:00 - 17:00,Lab Services,Branch 2,10,153
15/9/2025,Monday,10:00 - 11:00,Minor Procedures,Branch 1,11,236
11/5/2025,Sunday,11:00 - 12:00,Dermatology,Branch 2,2,95
11/11/2025,Tuesday,13:00 - 14:00,General Consultation,Branch 1,9,192
1/8/2025,Friday,13:00 - 14:00,Orthopedics,Branch 1,13,225
3/4/2026,Friday,14:00 - 15:00,Minor Procedures,Branch 3,10,253
17/6/2025,Tuesday,09:00 - 10:00,Lab Services,Branch 3,0,105
24/9/2025,Wednesday,13:00 - 14:00,Dermatology,Branch 3,1,127
16/12/2025,Tuesday,14:00 - 15:00,Orthopedics,Branch 1,6,153
9/12/2025,Tuesday,16:00 - 17:00,Lab Services,Branch 3,8,170
16/1/2026,Friday,14:00 - 15:00,General Consultation,Branch 2,14,205
2/5/2025,Friday,11:00 - 12:00,Pediatrics,Branch 2,14,207
21/1/2026,Wednesday,10:00 - 11:00,Dermatology,Branch 1,5,140
29/5/2025,Thursday,16:00 - 17:00,Minor Procedures,Branch 1,15,269
22/8/2025,Friday,14:00 - 15:00,Minor Procedures,Branch 3,11,248
26/9/2025,Friday,13:00 - 14:00,Orthopedics,Branch 1,12,216
1/8/2025,Friday,11:00 - 12:00,Minor Procedures,Branch 2,10,193
24/3/2026,Tuesday,14:00 - 15:00,Pediatrics,Branch 1,15,232
14/3/2026,Saturday,16:00 - 17:00,Dermatology,Branch 1,7,159
27/3/2026,Friday,08:00 - 09:00,Dermatology,Branch 3,7,205
2/3/2026,Monday,14:00 - 15:00,Dermatology,Branch 3,2,149
13/9/2025,Saturday,11:00 - 12:00,General Consultation,Branch 1,13,230
13/2/2026,Friday,11:00 - 12:00,Obstetrics & Gynecology,Branch 2,12,166
30/3/2026,Monday,08:00 - 09:00,Lab Services,Branch 2,8,131
26/8/2025,Tuesday,13:00 - 14:00,Orthopedics,Branch 2,10,172
7/11/2025,Friday,10:00 - 11:00,Pediatrics,Branch 3,13,244
3/6/2025,Tuesday,15:00 - 16:00,Orthopedics,Branch 3,13,250
5/5/2025,Monday,15:00 - 16:00,Obstetrics & Gynecology,Branch 3,8,213
1/4/2026,Wednesday,10:00 - 11:00,Cardiology,Branch 1,13,210
28/6/2025,Saturday,14:00 - 15:00,General Consultation,Branch 1,5,146
11/5/2025,Sunday,10:00 - 11:00,General Consultation,Branch 3,0,120
12/8/2025,Tuesday,09:00 - 10:00,Orthopedics,Branch 3,11,220
13/2/2026,Friday,11:00 - 12:00,Minor Procedures,Branch 2,9,170
13/1/2026,Tuesday,13:00 - 14:00,Minor Procedures,Branch 3,10,257
23/3/2026,Monday,09:00 - 10:00,General Consultation,Branch 3,0,114
16/9/2025,Tuesday,16:00 - 17:00,Pediatrics,Branch 2,10,169
10/7/2025,Thursday,14:00 - 15:00,Orthopedics,Branch 1,6,151
21/12/2025,Sunday,14:00 - 15:00,Obstetrics & Gynecology,Branch 1,4,141
11/5/2025,Sunday,10:00 - 11:00,Minor Procedures,Branch 3,7,224
9/6/2025,Monday,11:00 - 12:00,Dermatology,Branch 3,3,162
13/8/2025,Wednesday,11:00 - 12:00,Lab Services,Branch 1,14,213
20/8/2025,Wednesday,09:00 - 10:00,Dermatology,Branch 1,15,243
23/11/2025,Sunday,13:00 - 14:00,Orthopedics,Branch 1,13,210
7/9/2025,Sunday,13:00 - 14:00,Lab Services,Branch 1,8,166
9/12/2025,Tuesday,08:00 - 09:00,Orthopedics,Branch 2,0,63
10/12/2025,Wednesday,15:00 - 16:00,Dermatology,Branch 3,15,272
24/12/2025,Wednesday,09:00 - 10:00,Cardiology,Branch 3,10,231
13/4/2026,Monday,10:00 - 11:00,General Consultation,Branch 3,5,158
2/4/2026,Thursday,10:00 - 11:00,Orthopedics,Branch 3,8,192
14/3/2026,Saturday,09:00 - 10:00,Pediatrics,Branch 1,11,186
13/10/2025,Monday,13:00 - 14:00,General Consultation,Branch 1,11,193
12/7/2025,Saturday,09:00 - 10:00,General Consultation,Branch 3,6,186
26/1/2026,Monday,14:00 - 15:00,Pediatrics,Branch 1,5,139
17/3/2026,Tuesday,09:00 - 10:00,Dermatology,Branch 1,2,124
24/12/2025,Wednesday,16:00 - 17:00,Orthopedics,Branch 2,1,56
12/9/2025,Friday,15:00 - 16:00,Cardiology,Branch 3,9,204
9/8/2025,Saturday,11:00 - 12:00,Cardiology,Branch 3,8,205
14/12/2025,Sunday,14:00 - 15:00,Obstetrics & Gynecology,Branch 3,14,256
3/5/2025,Saturday,11:00 - 12:00,Dermatology,Branch 2,0,53
14/3/2026,Saturday,08:00 - 09:00,Dermatology,Branch 1,1,98
17/9/2025,Wednesday,14:00 - 15:00,Cardiology,Branch 3,5,185
13/5/2025,Tuesday,10:00 - 11:00,Minor Procedures,Branch 2,15,228
27/3/2026,Friday,15:00 - 16:00,Cardiology,Branch 2,8,144
22/11/2025,Saturday,10:00 - 11:00,Dermatology,Branch 3,8,205
23/6/2025,Monday,14:00 - 15:00,Orthopedics,Branch 3,13,253
22/2/2026,Sunday,11:00 - 12:00,General Consultation,Branch 2,13,199
16/7/2025,Wednesday,11:00 - 12:00,Minor Procedures,Branch 1,15,252
4/7/2025,Friday,11:00 - 12:00,General Consultation,Branch 2,6,108
28/1/2026,Wednesday,14:00 - 15:00,General Consultation,Branch 2,4,109
24/1/2026,Saturday,15:00 - 16:00,Obstetrics & Gynecology,Branch 1,6,140
3/8/2025,Sunday,13:00 - 14:00,Dermatology,Branch 3,12,236
31/7/2025,Thursday,10:00 - 11:00,Minor Procedures,Branch 1,13,238
28/4/2025,Monday,09:00 - 10:00,Cardiology,Branch 3,15,268
30/9/2025,Tuesday,08:00 - 09:00,Minor Procedures,Branch 3,14,296
10/9/2025,Wednesday,11:00 - 12:00,Dermatology,Branch 1,3,118
7/9/2025,Sunday,11:00 - 12:00,Obstetrics & Gynecology,Branch 2,8,149
16/4/2026,Thursday,15:00 - 16:00,Orthopedics,Branch 3,14,246
26/9/2025,Friday,16:00 - 17:00,Minor Procedures,Branch 3,10,242
3/1/2026,Saturday,15:00 - 16:00,Obstetrics & Gynecology,Branch 2,0,58
5/1/2026,Monday,14:00 - 15:00,Pediatrics,Branch 2,14,206
3/2/2026,Tuesday,16:00 - 17:00,Dermatology,Branch 2,8,148
8/3/2026,Sunday,09:00 - 10:00,Orthopedics,Branch 1,3,109
7/9/2025,Sunday,11:00 - 12:00,Pediatrics,Branch 2,15,217
9/5/2025,Friday,15:00 - 16:00,Obstetrics & Gynecology,Branch 2,11,167
4/7/2025,Friday,10:00 - 11:00,Dermatology,Branch 2,7,134
6/1/2026,Tuesday,13:00 - 14:00,Obstetrics & Gynecology,Branch 1,7,164
26/8/2025,Tuesday,13:00 - 14:00,Obstetrics & Gynecology,Branch 3,10,232
7/12/2025,Sunday,15:00 - 16:00,General Consultation,Branch 2,0,66
27/8/2025,Wednesday,08:00 - 09:00,General Consultation,Branch 2,0,53
13/7/2025,Sunday,13:00 - 14:00,Pediatrics,Branch 2,10,160
16/11/2025,Sunday,10:00 - 11:00,Minor Procedures,Branch 3,15,302
17/10/2025,Friday,11:00 - 12:00,Lab Services,Branch 2,3,72
15/1/2026,Thursday,14:00 - 15:00,General Consultation,Branch 1,5,139
4/7/2025,Friday,10:00 - 11:00,General Consultation,Branch 1,6,154
20/3/2026,Friday,09:00 - 10:00,Orthopedics,Branch 1,8,168
2/9/2025,Tuesday,15:00 - 16:00,Dermatology,Branch 1,15,252
23/8/2025,Saturday,08:00 - 09:00,Orthopedics,Branch 3,7,184
3/4/2026,Friday,14:00 - 15:00,Minor Procedures,Branch 1,15,269
18/9/2025,Thursday,14:00 - 15:00,Obstetrics & Gynecology,Branch 2,13,183
5/6/2025,Thursday,11:00 - 12:00,Cardiology,Branch 3,15,274
12/8/2025,Tuesday,10:00 - 11:00,General Consultation,Branch 1,9,187
28/8/2025,Thursday,09:00 - 10:00,Cardiology,Branch 1,5,141
13/10/2025,Monday,15:00 - 16:00,General Consultation,Branch 3,4,159
25/2/2026,Wednesday,16:00 - 17:00,Dermatology,Branch 2,11,165
31/12/2025,Wednesday,11:00 - 12:00,Cardiology,Branch 3,14,259
15/1/2026,Thursday,11:00 - 12:00,Lab Services,Branch 1,3,111
25/1/2026,Sunday,15:00 - 16:00,General Consultation,Branch 1,11,196
18/5/2025,Sunday,16:00 - 17:00,Lab Services,Branch 1,4,123
24/12/2025,Wednesday,15:00 - 16:00,Cardiology,Branch 2,14,194
30/6/2025,Monday,16:00 - 17:00,Obstetrics & Gynecology,Branch 2,14,205
28/1/2026,Wednesday,08:00 - 09:00,Cardiology,Branch 2,4,105
22/8/2025,Friday,16:00 - 17:00,Orthopedics,Branch 1,7,160
18/6/2025,Wednesday,16:00 - 17:00,Minor Procedures,Branch 2,1,109
11/5/2025,Sunday,08:00 - 09:00,Dermatology,Branch 3,11,244
9/7/2025,Wednesday,10:00 - 11:00,Obstetrics & Gynecology,Branch 1,1,93
26/5/2025,Monday,11:00 - 12:00,Pediatrics,Branch 1,6,145
15/2/2026,Sunday,11:00 - 12:00,Pediatrics,Branch 2,6,128
9/7/2025,Wednesday,11:00 - 12:00,Orthopedics,Branch 3,7,204
22/6/2025,Sunday,08:00 - 09:00,General Consultation,Branch 3,11,234
27/3/2026,Friday,08:00 - 09:00,Dermatology,Branch 3,3,138
8/11/2025,Saturday,09:00 - 10:00,General Consultation,Branch 2,8,130
3/10/2025,Friday,14:00 - 15:00,Lab Services,Branch 1,14,207
23/9/2025,Tuesday,16:00 - 17:00,Dermatology,Branch 3,3,159
4/7/2025,Friday,09:00 - 10:00,Cardiology,Branch 3,3,137
13/2/2026,Friday,11:00 - 12:00,Cardiology,Branch 2,13,179
20/3/2026,Friday,09:00 - 10:00,Orthopedics,Branch 1,2,107
29/10/2025,Wednesday,13:00 - 14:00,Minor Procedures,Branch 1,2,120
2/9/2025,Tuesday,16:00 - 17:00,Obstetrics & Gynecology,Branch 2,4,106
21/4/2026,Tuesday,11:00 - 12:00,Pediatrics,Branch 2,6,115
18/10/2025,Saturday,10:00 - 11:00,Obstetrics & Gynecology,Branch 2,9,148
26/7/2025,Saturday,14:00 - 15:00,Cardiology,Branch 3,2,125
24/2/2026,Tuesday,11:00 - 12:00,Dermatology,Branch 1,3,114
29/9/2025,Monday,11:00 - 12:00,Lab Services,Branch 2,10,141
2/9/2025,Tuesday,11:00 - 12:00,Cardiology,Branch 2,3,92
10/11/2025,Monday,13:00 - 14:00,Obstetrics & Gynecology,Branch 2,8,136
24/8/2025,Sunday,14:00 - 15:00,Obstetrics & Gynecology,Branch 2,0,73
10/11/2025,Monday,11:00 - 12:00,Lab Services,Branch 2,4,94
7/2/2026,Saturday,08:00 - 09:00,Lab Services,Branch 2,4,81
19/12/2025,Friday,14:00 - 15:00,General Consultation,Branch 2,2,68
24/12/2025,Wednesday,16:00 - 17:00,Orthopedics,Branch 3,1,130
1/10/2025,Wednesday,09:00 - 10:00,Pediatrics,Branch 2,12,192
26/11/2025,Wednesday,08:00 - 09:00,Minor Procedures,Branch 3,14,290
31/3/2026,Tuesday,11:00 - 12:00,Pediatrics,Branch 2,3,92
13/5/2025,Tuesday,15:00 - 16:00,General Consultation,Branch 2,2,75
17/5/2025,Saturday,15:00 - 16:00,Cardiology,Branch 1,5,141
10/1/2026,Saturday,10:00 - 11:00,Minor Procedures,Branch 1,11,230
